,name,lat,lon
101,PES150_B,-34.955738532384, -54.938115030105
4000,SGDE.ARG,-31.212332, -57.93032
4004,C.ELIA,-32.672407, -58.327850
90000,SU5500_B,-31.2748421,-57.9413488
90080,SJ5500_B,-32.665934, -58.130494
90100,MA5500_B,-34.835373, -56.186113
90160,BRU500_B,-34.749778,-56.541138
90180,CR5_500_B,-33.760833, -56.932703
90200,MVB500_B,-34.826261, -56.235881
90300,MI5500_B,-34.892016, -56.129463
90480,ME5500_B,-32.368668, -54.169347
90500,PAL500_B,-33.056029,-57.452421
90700,SC5500_B,-34.787629, -54.922598
92000,SU5150_B,-31.134345428845805,-57.76546378609916
92020,YOU150_B,-32.608272,-57.438474
92030,PAY150_B,-32.2960,-58.0250
92040,SAL150_B,-31.41507410776246,-57.81838261543021
92050,FBE150_B,-33.114837,-58.25675
92060,ARA150_B,-30.872376,-57.454386
92061,CLFAUX150_B,-31.09118570549963,-57.531743468579485
92070,TGO150_B,-30.330102,-57.621952
92080,SJA150_B,-32.671714, -58.132026
92090,ART150_B,-30.407841, -56.470603
92091,JPT_150B,-30.408981,-56.640095
92100,MVA150_B,-34.835373, -56.186113
92110,NOR1501B,-34.834005, -56.171256
92111,NOR1502B,-34.841414, -56.191362
92124,MVL150B2,-34.826503,-56.236635
92131,PRO1501X,-34.359213, -56.249662
92132,PRO1502X,-34.376986, -56.192244
92141,MVLMVA_X,-34.835373, -56.186113
92142,MVLMVB_X,-34.826261, -56.235881
92180,MVM1501X,-34.804427, -56.121094
92200,MVB150_B,-34.826261, -56.235881
92210,MVC150_B,-34.829709, -56.303498
92220,MVD1501X,-34.869314, -56.208955
92230,MVD1502X,-34.869314, -56.208955
92240,MVE1501B,-34.886116,-56.197676
92270,MVJ150_B,-34.904139, -56.191505
92280,PIE150_B,-34.730909, -56.216351
92300,MVI150_B,-34.882431, -56.125827
92310,MVF150_B,-34.914460, -56.154666
92320,MVG150_B,-34.923894, -56.164380
92330,MVH1501B,-34.891644, -56.114964
92340,MVK150_B,-34.885843, -56.057061
92350,MVR1501B,-34.894910, -56.154111
92360,MVR1502B,-34.900949, -56.158529
92380,SOL150_B,-34.829865, -55.968305
92400,RIV150_B,-30.939243,-55.558273
92410,TAC150_B,-31.698742,-55.933104
92411,PAM150_B,-32.246667,-56.21500
92412,TAB150_B,-31.721320, -55.986050
92420,VAL150_B,-33.082912,-55.17281
92430,TYT150_B,-33.25055,-54.401777
92440,EMA150_B,-33.663337,-53.571453
92450,MEL150_B,-32.368668, -54.169347
92460,MDI150_X,-31.481054, -55.727076
92470,STE150_B,-31.494570, -55.784912
92480,MEB150_B,-32.407470, -54.144174
92481,MEB150P1,-32.431741, -54.140704
92482,MEB150P2,-32.443456, -54.112447
92485,LAD150_B,-32.24258,-53.907256
92490,ARB150_B,-32.582846,-54.230207
92491,ARB150P1,-32.609786, -54.210356
92492,ARB150P2,-32.609786, -54.210356
92500,PAL150_B,-33.056029,-57.452421
92510,PIA150_B,-33.833784, -56.304939
92520,FLO150_B,-34.095953, -56.220762
92524,POL150_B,-34.072142,-56.02797
92531,DUR1501F,-33.371145, -56.530888
92532,DUR1502F,-33.396659, -56.509258
92540,BON150_B,-32.831856,-56.4243197
92550,BAY150_B,-32.873622,-56.806095
92561,PBE150RX,-34.467006, -56.458069
92562,PBE150BX,-34.463075, -56.441380
92580,ROD150_B,-34.391375,-56.589588
92590,TRI150_B,-33.913671,-57.015548
92600,COL150_B,-34.219592,-58.049508
92610,ROS150_B,-34.22651,-57.336608
92611,MEN150_B,-34.349932,-57.555393
92620,LIB150_B,-34.63459,-56.586462
92630,SVA150_B,-34.789716, -56.350662
92640,MER150_B,-33.261064,-57.992211
92650,NPA150_B,-33.871304, -58.408575
92660,FBEMER_X,-33.183828, -58.151241
92661,FBESJA_X,-32.925633, -58.109299
92670,ACO150_B,-34.520606, -56.394139
92681,EFI150_X,-34.741886, -56.451555
92690,CON150_B,-34.164793, -58.033085
92692,COE1502P,-34.079884, -58.203984
92700,SCA150_B,-34.626901,-54.957502
92710,BIF150_B,-34.204154,-55.74796
92721,PAZ1501B,-34.772955, -55.224882
92722,PAZ1502B,-34.778555, -55.232033
92730,MAL150_B,-34.896767, -54.951539
92740,CGR150_B,-31.883842, -54.333257
92760,ROC150_B,-34.286155,-54.060287
92770,PAN150_B,-34.709424, -55.958404
92771,PAN150_F,-34.724056, -55.957035
92780,PAZSCA_X,-34.779431, -55.091670
92790,BOB150_B,-32.6004,-56.41957
92791,SCAROC_X,-34.765131, -54.721718
92801,SCAMAL1X,-34.829786, -54.956903
92810,SCAMAL2X,-34.833327, -54.933613
92830,PAZMAL_X,-34.871553, -55.018150
92910,PIB150_B,-33.915726,-56.350492
92940,DOL150_B,-33.530319, -58.220453
